LocationDesc,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification1,income_strat,income_ordinal
Maine,32.3,28.7,36,1319,"$15,000 - $24,999","$15,000 - $24,999",2
Hawaii,35,30.7,39.6,1056,"$35,000 - $49,999","$35,000 - $49,999",4
Connecticut,32.7,27.7,38.1,602,"Less than $15,000","Less than $15,000",1
Florida,36.6,33.6,39.7,6137,"$15,000 - $24,999","$15,000 - $24,999",2
Iowa,36.6,32.4,41.1,856,"$25,000 - $34,999","$25,000 - $34,999",3
Iowa,37.3,33.1,41.7,735,"$25,000 - $34,999","$25,000 - $34,999",3
New Hampshire,29.7,24.7,35.1,528,"$25,000 - $34,999","$25,000 - $34,999",3
Michigan,37.6,34.1,41.3,1486,"$35,000 - $49,999","$35,000 - $49,999",4
Mississippi,32.8,28.3,37.7,775,"$15,000 - $24,999","$15,000 - $24,999",2
California,34.2,30.9,37.7,1201,"Less than $15,000","Less than $15,000",1
Mississippi,30.2,27.2,33.3,1696,"$15,000 - $24,999","$15,000 - $24,999",2
Wyoming,31.5,25.7,37.8,488,"Less than $15,000","Less than $15,000",1
South Dakota,34.1,29.3,39.3,1165,"$15,000 - $24,999","$15,000 - $24,999",2
Kentucky,35.4,31.7,39.2,1447,"$75,000 or greater","$75,000 or greater",6
North Dakota,40.9,38.1,43.7,2255,"$75,000 or greater","$75,000 or greater",6
Kentucky,31.5,28.4,34.9,1937,"$15,000 - $24,999","$15,000 - $24,999",2
Vermont,37.8,34,41.7,969,"$50,000 - $74,999","$50,000 - $74,999",5
Ohio,42.2,39.2,45.3,2434,"$75,000 or greater","$75,000 or greater",6
New Hampshire,33.6,29.4,38.1,991,"$15,000 - $24,999","$15,000 - $24,999",2
North Dakota,35.3,31.3,39.7,757,"$35,000 - $49,999","$35,000 - $49,999",4
Nevada,41,36.4,45.9,1215,"$75,000 or greater","$75,000 or greater",6
West Virginia,34.1,29.9,38.5,615,"$25,000 - $34,999","$25,000 - $34,999",3
South Carolina,39.1,35.5,42.9,1290,"$50,000 - $74,999","$50,000 - $74,999",5
Arkansas,39.1,33.4,45.1,507,"$25,000 - $34,999","$25,000 - $34,999",3
North Dakota,39.8,35.4,44.5,1160,"$50,000 - $74,999","$50,000 - $74,999",5
Idaho,38.2,33.1,43.5,690,"$25,000 - $34,999","$25,000 - $34,999",3
Wyoming,33.5,28.1,39.4,576,"$25,000 - $34,999","$25,000 - $34,999",3
Georgia,33.3,28.6,38.3,667,"$35,000 - $49,999","$35,000 - $49,999",4
Alaska,42.2,37,47.6,630,"$50,000 - $74,999","$50,000 - $74,999",5
Mississippi,27.3,23.2,31.8,903,"Less than $15,000","Less than $15,000",1
New Jersey,38.4,36.1,40.8,3670,"$75,000 or greater","$75,000 or greater",6
Wyoming,36.8,32.2,41.6,899,"$35,000 - $49,999","$35,000 - $49,999",4
Indiana,35.1,32,38.3,1659,"$15,000 - $24,999","$15,000 - $24,999",2
Florida,38.5,36,41,6001,"$75,000 or greater","$75,000 or greater",6
Connecticut,37.3,33.6,41.2,1107,"$50,000 - $74,999","$50,000 - $74,999",5
Oregon,34.7,30.5,39.2,832,"$35,000 - $49,999","$35,000 - $49,999",4
South Dakota,40,34.8,45.5,967,"$35,000 - $49,999","$35,000 - $49,999",4
Louisiana,36.5,32.8,40.4,941,"$75,000 or greater","$75,000 or greater",6
Alabama,33.9,29.8,38.2,1115,"$15,000 - $24,999","$15,000 - $24,999",2
Idaho,31.6,27.2,36.5,937,"$15,000 - $24,999","$15,000 - $24,999",2
Florida,39.9,36.1,43.9,1532,"$35,000 - $49,999","$35,000 - $49,999",4
South Dakota,30,25.1,35.4,908,"$15,000 - $24,999","$15,000 - $24,999",2
Indiana,36.8,32.7,41.1,869,"$25,000 - $34,999","$25,000 - $34,999",3
New Jersey,38.8,35.3,42.5,1476,"$35,000 - $49,999","$35,000 - $49,999",4
Connecticut,38.1,33.2,43.3,772,"$35,000 - $49,999","$35,000 - $49,999",4
Mississippi,34.6,28.9,40.7,451,"$35,000 - $49,999","$35,000 - $49,999",4
Kansas,37.8,35.7,40,3129,"$35,000 - $49,999","$35,000 - $49,999",4
Nebraska,33.2,30.1,36.5,2253,"Less than $15,000","Less than $15,000",1
Missouri,33.5,29.8,37.4,1115,"$15,000 - $24,999","$15,000 - $24,999",2
Wisconsin,29.8,25.2,34.8,818,"$15,000 - $24,999","$15,000 - $24,999",2
Minnesota,33.8,31.1,36.6,1858,"$15,000 - $24,999","$15,000 - $24,999",2
Colorado,32.5,29.4,35.8,1544,"$15,000 - $24,999","$15,000 - $24,999",2
North Dakota,40.5,36.5,44.7,841,"$50,000 - $74,999","$50,000 - $74,999",5
Ohio,36,31.4,40.8,1088,"$25,000 - $34,999","$25,000 - $34,999",3
Wyoming,35,29.7,40.7,903,"$15,000 - $24,999","$15,000 - $24,999",2
Massachusetts,33.6,30.8,36.4,2811,"$15,000 - $24,999","$15,000 - $24,999",2
California,39.3,35.1,43.7,951,"$25,000 - $34,999","$25,000 - $34,999",3
Oklahoma,38.1,35,41.3,1527,"$75,000 or greater","$75,000 or greater",6
Missouri,35.4,32.2,38.7,1481,"$75,000 or greater","$75,000 or greater",6
Kentucky,36,30.6,41.8,738,"$35,000 - $49,999","$35,000 - $49,999",4
Pennsylvania,37.1,34.6,39.7,2475,"$75,000 or greater","$75,000 or greater",6
Utah,36.2,33.3,39.2,1638,"$35,000 - $49,999","$35,000 - $49,999",4
Washington,34.9,31.7,38.2,1686,"$15,000 - $24,999","$15,000 - $24,999",2
Washington,35.1,32,38.2,2228,"$50,000 - $74,999","$50,000 - $74,999",5
Alaska,42.8,39.4,46.2,1531,"$75,000 or greater","$75,000 or greater",6
Oklahoma,37.8,34.3,41.5,1356,"$75,000 or greater","$75,000 or greater",6
Washington,37.6,34.8,40.4,2235,"$50,000 - $74,999","$50,000 - $74,999",5
Delaware,37.5,32.1,43.1,539,"$50,000 - $74,999","$50,000 - $74,999",5
Kansas,35.9,33.5,38.3,2409,"$25,000 - $34,999","$25,000 - $34,999",3
Missouri,39.6,35.9,43.3,1314,"$75,000 or greater","$75,000 or greater",6
Texas,32.2,27.6,37.1,1420,"Less than $15,000","Less than $15,000",1
New York,38.2,34,42.6,926,"$50,000 - $74,999","$50,000 - $74,999",5
New Hampshire,38.4,35.7,41.2,2035,"$75,000 or greater","$75,000 or greater",6
Delaware,33.8,27.8,40.3,495,"Less than $15,000","Less than $15,000",1
Louisiana,23.9,19.2,29.3,500,"Less than $15,000","Less than $15,000",1
Wisconsin,38.3,34.3,42.5,1046,"$50,000 - $74,999","$50,000 - $74,999",5
Oregon,34,29.2,39.1,594,"$25,000 - $34,999","$25,000 - $34,999",3
Missouri,32.9,29.1,36.9,1217,"$15,000 - $24,999","$15,000 - $24,999",2
New Mexico,37.9,34.2,41.7,1114,"$50,000 - $74,999","$50,000 - $74,999",5
Nebraska,35,32.8,37.2,4209,"$15,000 - $24,999","$15,000 - $24,999",2
Iowa,32.2,28.5,36,999,"$15,000 - $24,999","$15,000 - $24,999",2
New Mexico,31.2,26.2,36.8,658,"$25,000 - $34,999","$25,000 - $34,999",3
Ohio,33.9,29.7,38.4,992,"$25,000 - $34,999","$25,000 - $34,999",3
Florida,38.4,33.9,43.2,924,"$35,000 - $49,999","$35,000 - $49,999",4
Michigan,37.8,34,41.8,1175,"$25,000 - $34,999","$25,000 - $34,999",3
New Mexico,34.9,30,40.1,873,"$25,000 - $34,999","$25,000 - $34,999",3
Utah,37.7,35.6,39.8,3410,"$75,000 or greater","$75,000 or greater",6
Delaware,40.4,37,43.8,1383,"$75,000 or greater","$75,000 or greater",6
Mississippi,32.8,27.6,38.4,604,"$25,000 - $34,999","$25,000 - $34,999",3
Rhode Island,30.9,26.1,36.1,631,"Less than $15,000","Less than $15,000",1
Illinois,35.2,29.7,41.1,472,"$25,000 - $34,999","$25,000 - $34,999",3
Wisconsin,29.5,23.6,36.2,463,"Less than $15,000","Less than $15,000",1
Pennsylvania,37.3,33.8,40.9,2000,"$25,000 - $34,999","$25,000 - $34,999",3
Idaho,42.6,38.6,46.8,1048,"$75,000 or greater","$75,000 or greater",6
Michigan,32.7,29.1,36.5,1056,"$15,000 - $24,999","$15,000 - $24,999",2
Alaska,39.3,32.2,46.8,353,"$25,000 - $34,999","$25,000 - $34,999",3
Colorado,31.4,26.9,36.3,1034,"Less than $15,000","Less than $15,000",1
Texas,34.7,31.5,38.1,2143,"$15,000 - $24,999","$15,000 - $24,999",2
Massachusetts,38.8,36.8,40.9,4587,"$75,000 or greater","$75,000 or greater",6
Rhode Island,33.3,28.2,38.9,599,"Less than $15,000","Less than $15,000",1
Kansas,26.3,23.2,29.6,1568,"Less than $15,000","Less than $15,000",1
Tennessee,24.3,17.4,33,677,"Less than $15,000","Less than $15,000",1
Massachusetts,35.7,33.7,37.8,4286,"$75,000 or greater","$75,000 or greater",6
Florida,36.8,33.8,40,4279,"$35,000 - $49,999","$35,000 - $49,999",4
Arizona,35.2,32,38.6,1938,"$50,000 - $74,999","$50,000 - $74,999",5
Maryland,27.3,21.5,34,529,"Less than $15,000","Less than $15,000",1
Oklahoma,35.1,30.7,39.7,870,"$35,000 - $49,999","$35,000 - $49,999",4
Pennsylvania,34.5,30.6,38.6,1140,"$25,000 - $34,999","$25,000 - $34,999",3
Tennessee,32.8,27.2,39,518,"$25,000 - $34,999","$25,000 - $34,999",3
Pennsylvania,38.2,35.4,41,2471,"$35,000 - $49,999","$35,000 - $49,999",4
Oklahoma,41.8,37,46.7,827,"$50,000 - $74,999","$50,000 - $74,999",5
Delaware,36.5,30.5,42.9,471,"$50,000 - $74,999","$50,000 - $74,999",5
South Dakota,39,34.5,43.8,1122,"$35,000 - $49,999","$35,000 - $49,999",4
West Virginia,44.9,40.3,49.5,651,"$75,000 or greater","$75,000 or greater",6
Delaware,29.5,23.3,36.5,374,"$25,000 - $34,999","$25,000 - $34,999",3
South Carolina,35.2,31.8,38.8,1405,"$35,000 - $49,999","$35,000 - $49,999",4
Minnesota,38.4,35.6,41.3,2302,"$50,000 - $74,999","$50,000 - $74,999",5
Illinois,24.6,19.7,30.1,446,"Less than $15,000","Less than $15,000",1
Hawaii,32.8,28.2,37.6,991,"$15,000 - $24,999","$15,000 - $24,999",2
Alabama,38.5,34.7,42.3,1125,"$75,000 or greater","$75,000 or greater",6
New York,36.2,31.4,41.2,680,"$35,000 - $49,999","$35,000 - $49,999",4
West Virginia,37.5,33.6,41.5,793,"$35,000 - $49,999","$35,000 - $49,999",4
Maryland,36.2,32.5,40.1,1666,"$50,000 - $74,999","$50,000 - $74,999",5
Florida,37.5,33.8,41.4,3659,"$25,000 - $34,999","$25,000 - $34,999",3
New Jersey,37.9,33.8,42.2,1256,"$50,000 - $74,999","$50,000 - $74,999",5
Maine,41.3,38.3,44.4,1446,"$50,000 - $74,999","$50,000 - $74,999",5
Illinois,37.3,32.9,42,892,"$50,000 - $74,999","$50,000 - $74,999",5
Vermont,31.3,26.6,36.5,559,"$25,000 - $34,999","$25,000 - $34,999",3
Louisiana,37.6,31.1,44.5,519,"$25,000 - $34,999","$25,000 - $34,999",3
Alabama,28.5,25.2,32.1,1088,"$15,000 - $24,999","$15,000 - $24,999",2
Wisconsin,38,34.8,41.2,1377,"$75,000 or greater","$75,000 or greater",6
Wyoming,31.1,21.9,42,227,"Less than $15,000","Less than $15,000",1
South Dakota,37.9,34,42,1394,"$75,000 or greater","$75,000 or greater",6
Virginia,31.2,27.7,34.8,1158,"$15,000 - $24,999","$15,000 - $24,999",2
Indiana,35.1,31.6,38.8,1425,"$35,000 - $49,999","$35,000 - $49,999",4
Illinois,34.9,30.6,39.5,671,"$50,000 - $74,999","$50,000 - $74,999",5
Wyoming,38,32,44.3,575,"$35,000 - $49,999","$35,000 - $49,999",4
Pennsylvania,30.3,25.7,35.3,556,"$25,000 - $34,999","$25,000 - $34,999",3
Texas,35,30.6,39.8,1502,"$50,000 - $74,999","$50,000 - $74,999",5
Oregon,36.7,32.6,40.9,721,"$50,000 - $74,999","$50,000 - $74,999",5
Rhode Island,34.3,27.4,41.9,363,"$25,000 - $34,999","$25,000 - $34,999",3
Iowa,35.6,30.5,41,620,"$25,000 - $34,999","$25,000 - $34,999",3
California,40.4,36.2,44.8,839,"$25,000 - $34,999","$25,000 - $34,999",3
Utah,37.1,35,39.3,3288,"$75,000 or greater","$75,000 or greater",6
Kansas,35.7,32.9,38.5,1659,"$50,000 - $74,999","$50,000 - $74,999",5
South Carolina,39.1,36.3,41.9,2251,"$75,000 or greater","$75,000 or greater",6
California,37.8,35.7,39.9,3595,"$75,000 or greater","$75,000 or greater",6
North Dakota,41.3,38.5,44.1,1755,"$75,000 or greater","$75,000 or greater",6
South Dakota,39.7,31.2,49,357,"Less than $15,000","Less than $15,000",1
Nebraska,30.6,26.1,35.5,1005,"Less than $15,000","Less than $15,000",1
Indiana,36.7,33.1,40.3,1455,"$50,000 - $74,999","$50,000 - $74,999",5
Florida,36.7,33.4,40.2,3557,"$25,000 - $34,999","$25,000 - $34,999",3
Nebraska,34,30.6,37.7,2076,"$15,000 - $24,999","$15,000 - $24,999",2
Missouri,22.2,17.9,27.2,624,"Less than $15,000","Less than $15,000",1
Ohio,38.7,36.1,41.4,2637,"$75,000 or greater","$75,000 or greater",6
New York,35.1,32.2,38.2,4328,"$50,000 - $74,999","$50,000 - $74,999",5
New Mexico,40.3,36.2,44.7,1171,"$75,000 or greater","$75,000 or greater",6
Washington,27.4,23.4,31.7,835,"Less than $15,000","Less than $15,000",1
California,34,30.4,37.9,1040,"$35,000 - $49,999","$35,000 - $49,999",4
Nevada,41.9,36.2,47.9,574,"$50,000 - $74,999","$50,000 - $74,999",5
Colorado,38.1,36.4,39.9,4742,"$75,000 or greater","$75,000 or greater",6
Wisconsin,30.4,25.5,35.7,656,"$15,000 - $24,999","$15,000 - $24,999",2
Idaho,39.8,35.6,44,1077,"$75,000 or greater","$75,000 or greater",6
Tennessee,40.4,35.1,46,714,"$50,000 - $74,999","$50,000 - $74,999",5
Nebraska,36.4,32.7,40.4,1601,"$25,000 - $34,999","$25,000 - $34,999",3
Massachusetts,31,24.9,37.8,401,"$15,000 - $24,999","$15,000 - $24,999",2
North Dakota,38,34,42.1,902,"$50,000 - $74,999","$50,000 - $74,999",5
Oklahoma,35.6,31.2,40.2,853,"$35,000 - $49,999","$35,000 - $49,999",4
Missouri,39.8,34.7,45,867,"$35,000 - $49,999","$35,000 - $49,999",4
Minnesota,32.4,29.7,35.2,1800,"$15,000 - $24,999","$15,000 - $24,999",2
Iowa,25.9,20.3,32.3,419,"Less than $15,000","Less than $15,000",1
South Carolina,32.2,28,36.6,1019,"$25,000 - $34,999","$25,000 - $34,999",3
West Virginia,33.4,29.5,37.5,706,"$25,000 - $34,999","$25,000 - $34,999",3
Wisconsin,33.5,26.2,41.7,327,"Less than $15,000","Less than $15,000",1
Texas,38.6,34.2,43.3,1628,"$15,000 - $24,999","$15,000 - $24,999",2
Illinois,37.4,34.5,40.5,1516,"$75,000 or greater","$75,000 or greater",6
North Dakota,29.9,23.6,37,306,"Less than $15,000","Less than $15,000",1
North Carolina,39.6,36.6,42.7,1388,"$75,000 or greater","$75,000 or greater",6
Kansas,34.1,31,37.4,1506,"$35,000 - $49,999","$35,000 - $49,999",4
New Jersey,35.8,29.8,42.4,635,"$35,000 - $49,999","$35,000 - $49,999",4
Tennessee,32.9,27.3,39,575,"$25,000 - $34,999","$25,000 - $34,999",3
Hawaii,35,31.2,39,1168,"$50,000 - $74,999","$50,000 - $74,999",5
Rhode Island,39.6,36.2,42.9,1541,"$75,000 or greater","$75,000 or greater",6
Alabama,41.4,37.2,45.8,817,"$50,000 - $74,999","$50,000 - $74,999",5
Mississippi,41.2,35.6,47.2,510,"$50,000 - $74,999","$50,000 - $74,999",5
Hawaii,30.7,26.2,35.6,720,"$25,000 - $34,999","$25,000 - $34,999",3
Maine,40,37.2,42.9,2432,"$75,000 or greater","$75,000 or greater",6
Michigan,39,36.8,41.2,2913,"$75,000 or greater","$75,000 or greater",6
Utah,37.2,34,40.4,1692,"$50,000 - $74,999","$50,000 - $74,999",5
Hawaii,34.1,30.1,38.4,1003,"$35,000 - $49,999","$35,000 - $49,999",4
West Virginia,35.3,31.5,39.3,807,"$50,000 - $74,999","$50,000 - $74,999",5
Kentucky,33.9,29.9,38.1,1152,"$35,000 - $49,999","$35,000 - $49,999",4
Wyoming,29.5,24.2,35.5,626,"$15,000 - $24,999","$15,000 - $24,999",2
Nevada,37.9,31.7,44.5,478,"$35,000 - $49,999","$35,000 - $49,999",4
Oklahoma,39.3,36,42.6,1385,"$75,000 or greater","$75,000 or greater",6
Massachusetts,31.5,26,37.6,522,"Less than $15,000","Less than $15,000",1
Idaho,32.1,27.7,36.9,771,"$15,000 - $24,999","$15,000 - $24,999",2
Hawaii,29.2,25.6,33.1,1019,"$15,000 - $24,999","$15,000 - $24,999",2
Hawaii,31.1,26.2,36.5,682,"Less than $15,000","Less than $15,000",1
Michigan,35.8,32.2,39.7,1067,"$25,000 - $34,999","$25,000 - $34,999",3
Mississippi,31.3,26,37,490,"$25,000 - $34,999","$25,000 - $34,999",3
New Hampshire,34.8,29.2,40.8,482,"$25,000 - $34,999","$25,000 - $34,999",3
New Mexico,39.9,34.5,45.6,681,"$50,000 - $74,999","$50,000 - $74,999",5
Virgin Islands,35.1,26.9,44.4,206,"$75,000 or greater","$75,000 or greater",6
Maryland,38,34.9,41.3,2170,"$50,000 - $74,999","$50,000 - $74,999",5
Minnesota,35.6,32.5,38.7,1354,"$25,000 - $34,999","$25,000 - $34,999",3
Tennessee,29.8,25.9,34,929,"$15,000 - $24,999","$15,000 - $24,999",2
Arizona,30.9,26.6,35.4,1379,"$15,000 - $24,999","$15,000 - $24,999",2
Louisiana,36.2,32.2,40.3,1080,"$75,000 or greater","$75,000 or greater",6
Virginia,39.6,35.7,43.5,1104,"$50,000 - $74,999","$50,000 - $74,999",5
Illinois,34,29.4,38.8,574,"$35,000 - $49,999","$35,000 - $49,999",4
Oklahoma,30.4,25.2,36.1,568,"Less than $15,000","Less than $15,000",1
Iowa,36.4,32.4,40.5,902,"$35,000 - $49,999","$35,000 - $49,999",4
South Dakota,32.1,25.7,39.3,613,"$15,000 - $24,999","$15,000 - $24,999",2
Alabama,35.9,31.1,41.1,712,"$35,000 - $49,999","$35,000 - $49,999",4
Georgia,38.6,32.5,44.9,465,"$25,000 - $34,999","$25,000 - $34,999",3
Ohio,36.2,32.6,40.1,1478,"$35,000 - $49,999","$35,000 - $49,999",4
Utah,32.5,28.6,36.6,1054,"$15,000 - $24,999","$15,000 - $24,999",2
South Carolina,36.4,33,39.9,1383,"$50,000 - $74,999","$50,000 - $74,999",5
Arizona,37.8,35,40.8,2507,"$75,000 or greater","$75,000 or greater",6
Arkansas,37,31.9,42.3,884,"$75,000 or greater","$75,000 or greater",6
Kentucky,33.6,30,37.5,1341,"$15,000 - $24,999","$15,000 - $24,999",2
Georgia,27.9,22.8,33.6,482,"Less than $15,000","Less than $15,000",1
Idaho,36.9,32.5,41.6,841,"$50,000 - $74,999","$50,000 - $74,999",5
Delaware,44.2,38.5,50,484,"$35,000 - $49,999","$35,000 - $49,999",4
Vermont,35.8,31.8,40.1,931,"$50,000 - $74,999","$50,000 - $74,999",5
Rhode Island,35.8,29.9,42.1,547,"$35,000 - $49,999","$35,000 - $49,999",4
Florida,31.7,28.1,35.6,3093,"Less than $15,000","Less than $15,000",1
Kansas,35.3,31.6,39.2,1095,"$25,000 - $34,999","$25,000 - $34,999",3
Georgia,30.4,25.9,35.4,575,"$35,000 - $49,999","$35,000 - $49,999",4
South Dakota,39,33.2,45,793,"$35,000 - $49,999","$35,000 - $49,999",4
Florida,40.5,37.3,43.8,3854,"$50,000 - $74,999","$50,000 - $74,999",5
North Carolina,34.9,31,39,784,"$50,000 - $74,999","$50,000 - $74,999",5
Massachusetts,32.6,27.3,38.4,508,"$25,000 - $34,999","$25,000 - $34,999",3
Florida,37.8,35.6,40.1,6593,"$75,000 or greater","$75,000 or greater",6
Washington,33.6,30.4,37,1418,"$15,000 - $24,999","$15,000 - $24,999",2
Arkansas,39.1,32.7,46,602,"$50,000 - $74,999","$50,000 - $74,999",5
Illinois,30.5,26.4,35,671,"$15,000 - $24,999","$15,000 - $24,999",2
Washington,36.8,35,38.5,4336,"$75,000 or greater","$75,000 or greater",6
West Virginia,33.2,30,36.6,1122,"$15,000 - $24,999","$15,000 - $24,999",2
Minnesota,38.1,35.6,40.7,2034,"$35,000 - $49,999","$35,000 - $49,999",4
Alaska,39,34.3,43.9,1045,"$75,000 or greater","$75,000 or greater",6
Pennsylvania,33.6,29.8,37.7,903,"$15,000 - $24,999","$15,000 - $24,999",2
New Jersey,34.7,28.1,42,426,"Less than $15,000","Less than $15,000",1
Indiana,36.1,33.5,38.8,2519,"$75,000 or greater","$75,000 or greater",6
Rhode Island,34.4,29.4,39.9,656,"$15,000 - $24,999","$15,000 - $24,999",2
Texas,36.8,33.6,40,2960,"$75,000 or greater","$75,000 or greater",6
Iowa,31.7,27.7,35.9,871,"$15,000 - $24,999","$15,000 - $24,999",2
Montana,40.7,35.6,46,761,"$35,000 - $49,999","$35,000 - $49,999",4
Virginia,40.9,38.5,43.3,2741,"$75,000 or greater","$75,000 or greater",6
New Mexico,29.9,25.3,34.8,693,"Less than $15,000","Less than $15,000",1
Maine,30.1,26.7,33.9,1497,"$15,000 - $24,999","$15,000 - $24,999",2
Pennsylvania,30.7,25.5,36.3,542,"Less than $15,000","Less than $15,000",1
Alaska,25.4,19.3,32.5,318,"$15,000 - $24,999","$15,000 - $24,999",2
Mississippi,30.7,26.6,35.2,964,"$15,000 - $24,999","$15,000 - $24,999",2
Mississippi,40.2,35.7,44.8,767,"$75,000 or greater","$75,000 or greater",6
California,32.4,29.3,35.7,1309,"Less than $15,000","Less than $15,000",1
California,35.9,32.6,39.2,1218,"$15,000 - $24,999","$15,000 - $24,999",2
Virginia,33.7,29.4,38.4,693,"$25,000 - $34,999","$25,000 - $34,999",3
Virgin Islands,32.2,23.8,41.9,231,"$15,000 - $24,999","$15,000 - $24,999",2
Connecticut,33.1,29.1,37.3,1018,"$15,000 - $24,999","$15,000 - $24,999",2
Montana,31.6,25.7,38.2,464,"Less than $15,000","Less than $15,000",1
Oklahoma,38,33.6,42.7,837,"$50,000 - $74,999","$50,000 - $74,999",5
Colorado,38,34.9,41.2,1621,"$35,000 - $49,999","$35,000 - $49,999",4
Kentucky,30.2,26.1,34.6,1058,"Less than $15,000","Less than $15,000",1
New York,37.1,33.2,41.1,3048,"$25,000 - $34,999","$25,000 - $34,999",3
Kansas,28.1,23.8,32.9,685,"Less than $15,000","Less than $15,000",1
Mississippi,27.5,23.2,32.1,669,"Less than $15,000","Less than $15,000",1
Nebraska,39,35.9,42.1,2360,"$50,000 - $74,999","$50,000 - $74,999",5
Nevada,31.5,25.1,38.7,383,"$25,000 - $34,999","$25,000 - $34,999",3
New Hampshire,27.4,20,36.3,356,"Less than $15,000","Less than $15,000",1
New Hampshire,40.7,36.1,45.4,843,"$50,000 - $74,999","$50,000 - $74,999",5
Delaware,42,36,48.2,494,"$50,000 - $74,999","$50,000 - $74,999",5
Oklahoma,31,27.2,35.1,1016,"$15,000 - $24,999","$15,000 - $24,999",2
Utah,34.3,30.8,38,1245,"$35,000 - $49,999","$35,000 - $49,999",4
Utah,35.7,31.1,40.6,797,"$25,000 - $34,999","$25,000 - $34,999",3
Texas,31.3,26.6,36.5,1310,"$35,000 - $49,999","$35,000 - $49,999",4
Virgin Islands,32,22.1,43.9,150,"$25,000 - $34,999","$25,000 - $34,999",3
Georgia,39.1,35.7,42.6,1187,"$75,000 or greater","$75,000 or greater",6
North Dakota,36.8,32.3,41.5,768,"$35,000 - $49,999","$35,000 - $49,999",4
Tennessee,33.4,27.9,39.4,618,"Less than $15,000","Less than $15,000",1
New Jersey,39.5,34.4,44.7,828,"$50,000 - $74,999","$50,000 - $74,999",5
Washington,34.8,31.8,37.9,1657,"$35,000 - $49,999","$35,000 - $49,999",4
Idaho,25.1,19.8,31.2,468,"Less than $15,000","Less than $15,000",1
Massachusetts,35.3,30.8,40,754,"$35,000 - $49,999","$35,000 - $49,999",4
Indiana,33.6,29.5,38,1096,"$25,000 - $34,999","$25,000 - $34,999",3
Arizona,35.3,31.2,39.7,1355,"$35,000 - $49,999","$35,000 - $49,999",4
Virgin Islands,34.6,24.8,45.9,158,"$50,000 - $74,999","$50,000 - $74,999",5
New Hampshire,40.2,37.2,43.3,1854,"$75,000 or greater","$75,000 or greater",6
Maryland,37.1,32.2,42.3,1115,"$25,000 - $34,999","$25,000 - $34,999",3
Wisconsin,38.1,33.8,42.5,815,"$50,000 - $74,999","$50,000 - $74,999",5
Rhode Island,41.6,36.4,47.1,658,"$50,000 - $74,999","$50,000 - $74,999",5
Ohio,32.4,27.6,37.5,979,"Less than $15,000","Less than $15,000",1
Maryland,31.2,27.6,34.9,1730,"$15,000 - $24,999","$15,000 - $24,999",2
Missouri,39.2,35.5,42.9,1444,"$75,000 or greater","$75,000 or greater",6
Delaware,38,33.9,42.1,963,"$75,000 or greater","$75,000 or greater",6
North Carolina,31.1,26.7,35.9,578,"$25,000 - $34,999","$25,000 - $34,999",3
Connecticut,32.3,27.7,37.3,660,"$25,000 - $34,999","$25,000 - $34,999",3
New York,35.2,31.9,38.6,3871,"$35,000 - $49,999","$35,000 - $49,999",4
Colorado,35.3,31.4,39.5,1055,"$25,000 - $34,999","$25,000 - $34,999",3
Wyoming,38.8,33.5,44.4,676,"$50,000 - $74,999","$50,000 - $74,999",5
South Carolina,35.2,31.8,38.7,1725,"$15,000 - $24,999","$15,000 - $24,999",2
Colorado,32.7,29.6,35.9,1579,"$15,000 - $24,999","$15,000 - $24,999",2
Idaho,44.3,38.9,49.7,704,"$35,000 - $49,999","$35,000 - $49,999",4
Missouri,37.7,33.1,42.5,889,"$50,000 - $74,999","$50,000 - $74,999",5
Montana,35,29.8,40.6,613,"$25,000 - $34,999","$25,000 - $34,999",3
Washington,38.6,35.8,41.6,1935,"$50,000 - $74,999","$50,000 - $74,999",5
Missouri,31.5,27,36.4,976,"$15,000 - $24,999","$15,000 - $24,999",2
Louisiana,33,26.8,39.8,591,"Less than $15,000","Less than $15,000",1
Nebraska,38.6,36.2,41.1,3572,"$75,000 or greater","$75,000 or greater",6
Illinois,32.9,27.3,39,414,"$25,000 - $34,999","$25,000 - $34,999",3
Ohio,35.3,31.2,39.6,1262,"$25,000 - $34,999","$25,000 - $34,999",3
Indiana,33.9,30.6,37.4,1731,"$15,000 - $24,999","$15,000 - $24,999",2
Montana,41.6,37.1,46.2,866,"$50,000 - $74,999","$50,000 - $74,999",5
New Hampshire,29.4,24.8,34.4,688,"$15,000 - $24,999","$15,000 - $24,999",2
North Dakota,28.6,24.1,33.6,602,"$15,000 - $24,999","$15,000 - $24,999",2
Iowa,41.7,39,44.5,1853,"$75,000 or greater","$75,000 or greater",6
New Hampshire,34.7,29.9,39.7,713,"$35,000 - $49,999","$35,000 - $49,999",4
Minnesota,39.6,38.1,41.2,5207,"$75,000 or greater","$75,000 or greater",6
Indiana,31.1,26.9,35.7,888,"Less than $15,000","Less than $15,000",1
Louisiana,39.4,33.7,45.5,614,"$50,000 - $74,999","$50,000 - $74,999",5
Maine,38.2,34.3,42.2,1553,"$50,000 - $74,999","$50,000 - $74,999",5
North Carolina,30.5,25.8,35.6,550,"Less than $15,000","Less than $15,000",1
Vermont,37.8,33.4,42.4,819,"$35,000 - $49,999","$35,000 - $49,999",4
Washington,32.9,29.3,36.8,1121,"$25,000 - $34,999","$25,000 - $34,999",3
